sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
006_finish_node0,"Ah! Have you brought the notes? Yes, yes, Let's see what we have here... Oh for cryin' out--! These are garbage! I mean, MY suggestion is good, but it's still not exactly right. What can we name the Order?","Ah! Have you brought the notes? Yes, yes, Let's see what we have here... Oh for cryin' out--! These are garbage! I mean, MY suggestion is good, but it's still not exactly right. What can we name the Order?"
006_finish_node1,"Not bad! Not bad! I think we got it. Time to knock off early and get a drink. Here's your reward. Good job! Oh and if you want help from me, just complete every task written on the board.","Not bad! Not bad! I think we got it. Time to knock off early and get a drink. Here's your reward. Good job! Oh and if you want help from me, just complete every task written on the board."
006_finish_node2,"Oh, listen to Mr. Ideas! All right then, whaddaya got?","Oh, listen to Mr. Ideas! All right then, whaddaya got?"
006_finish_node3,"Too corny! Besides, we're not paladins, we're mercenaries! Sheesh, you're awful at this.","Too corny! Besides, we're not paladins, we're mercenaries! Sheesh, you're awful at this."
006_finish_node4,"Even worse! It sounds like we'll do a job for a nice ""thank you"" and a hearty handshake. Nuts to that! The name should say we're highly-paid pros! One more try, smarty.","Even worse! It sounds like we'll do a job for a nice ""thank you"" and a hearty handshake. Nuts to that! The name should say we're highly-paid pros! One more try, smarty."
006_finish_transition0_1,"C'mon, this isn't that hard. Let's just brainstorm a little. Throw some ideas out.","C'mon, this isn't that hard. Let's just brainstorm a little. Throw some ideas out."
006_finish_transition1_1,I have to do what now?,I have to do what now?
006_finish_transition2_1,Well... how about the Order of Paladins?,Well... how about the Order of Paladins?
006_finish_transition3_1,Fine. How about ...Rescue Service?,Fine. How about ...Rescue Service?
006_finish_transition4_1,"[shrug] I dunno. I guess you could just call yourself ""The Order.""","[shrug] I dunno. I guess you could just call yourself ""The Order."""
006_finish_transition4_2,"It's a keepers. It's catchy, and no one is using it yet - I hope.","It's a keepers. It's catchy, and no one is using it yet - I hope."
006_finish_transition4_3,"How about the, uh... ""Golden Brotherhood?"" It sounds like you're pretty expensive, anyway.","How about the, uh... ""Golden Brotherhood?"" It sounds like you're pretty expensive, anyway."
006_fox_start_node0,">sniff< This isn't what I expected when I left the Forest Brotherhood. ""Come fight for justice,"" they said. ""Be an avenging warrior,"" they said. But we haven't even figured out a stupid name yet...!",">sniff< This isn't what I expected when I left the Forest Brotherhood. ""Come fight for justice,"" they said. ""Be an avenging warrior,"" they said. But we haven't even figured out a stupid name yet...!"
006_fox_start_node1,"Anyway, I'm just real tired now and I want to get in my room. The door's locked, but since we're such an IMPORTANT GROUP OF WARRIORS, I'm sure there's a secret entrance somewhere. Please find it and then carry me to my bed. [falls asleep on top of some rocks]","Anyway, I'm just real tired now and I want to get in my room. The door's locked, but since we're such an IMPORTANT GROUP OF WARRIORS, I'm sure there's a secret entrance somewhere. Please find it and then carry me to my bed. [falls asleep on top of some rocks]"
006_fox_start_node2,"Oh, sure, I have it, but I can't even get in my stupid ROOM because I drank too much at our celebration for having a successful meeting.","Oh, sure, I have it, but I can't even get in my stupid ROOM because I drank too much at our celebration for having a successful meeting."
006_fox_start_transition0_1,"Hey there, little guy. I, uh, I heard you wrote down your suggestion for the name of your group. Do you have that?","Hey there, little guy. I, uh, I heard you wrote down your suggestion for the name of your group. Do you have that?"
006_fox_start_transition1_1,"Okay, and then I'll just quickly grab the piece of paper and uh... [fox snores loudly]...uh, okay.","Okay, and then I'll just quickly grab the piece of paper and uh... [fox snores loudly]...uh, okay."
006_fox_start_transition2_1,Can I help you get in your room?,Can I help you get in your room?
006_robot_start_node0,Name generation... Attempt No. 375…,Name generation... Attempt No. 375…
006_robot_start_node1,"Are you sure?! It doesn't matter; however, I can't come up with a better idea. Here's the note.","Are you sure?! It doesn't matter; however, I can't come up with a better idea. Here's the note."
006_robot_start_node2,"I do my best, but my creativity module doesn't work well. All I could come up with is: League of Paid Justice, Shard Guards, and Avengers on Call. Which is best?","I do my best, but my creativity module doesn't work well. All I could come up with is: League of Paid Justice, Shard Guards, and Avengers on Call. Which is best?"
006_robot_start_transition0_1,"Hey, listen! I need a note for the demon.","Hey, listen! I need a note for the demon."
006_robot_start_transition1_1,OK,OK
006_robot_start_transition2_1,League of Paid Justice,League of Paid Justice
006_robot_start_transition2_2,Shard Guards,Shard Guards
006_robot_start_transition2_3,Avengers on Call,Avengers on Call
006_start_node0,Urrgh. Who's making so much noise? Who-- who let this visitor in? You there! >Urrp.< Excuse me. Our Order can't help you now. Schedule an appointment for the... the end of the month or something.,Urrgh. Who's making so much noise? Who-- who let this visitor in? You there! >Urrp.< Excuse me. Our Order can't help you now. Schedule an appointment for the... the end of the month or something.
006_start_node1,"Okay, one more thing. I don't know if I made this clear, but my notes are with a bunch of terrifying spiders. I mean, I don't think they're so scary, but y'know, you might. The rest of them should be easy enough.","Okay, one more thing. I don't know if I made this clear, but my notes are with a bunch of terrifying spiders. I mean, I don't think they're so scary, but y'know, you might. The rest of them should be easy enough."
006_start_node2,"What, you've never heard of our great Order? Why, we're the greatest... uh, the finest... uh, listen, we're just getting off the ground here. We haven't even come up with a name.","What, you've never heard of our great Order? Why, we're the greatest... uh, the finest... uh, listen, we're just getting off the ground here. We haven't even come up with a name."
006_start_node3,"Okay, so one morning I had a terrible hangov... uhh... I mean, one morning I was meditating and communing with nature, and this idea just came to me. We should create an Order for.. for protecting every creature on the shards! What a great way to make money-- uh, I mean, what a great service we could provide.","Okay, so one morning I had a terrible hangov... uhh... I mean, one morning I was meditating and communing with nature, and this idea just came to me. We should create an Order for.. for protecting every creature on the shards! What a great way to make money-- uh, I mean, what a great service we could provide."
006_start_node4,"Don't interrupt! So I found a couple of comrades - the best alchemist around and a gunsmith. We're almost there, but here's the thing: we can't come up a name for our Order! I'm kind of lost. Do you know anything about ... brand recognition?","Don't interrupt! So I found a couple of comrades - the best alchemist around and a gunsmith. We're almost there, but here's the thing: we can't come up a name for our Order! I'm kind of lost. Do you know anything about ... brand recognition?"
006_start_node5,"Mm. Not really. Okay, so I asked everyone to write their best ideas and give them to me. But they're all pretty busy with their work, so they haven't even brought them yet. I mean, I had some ideas written down too, but I uh.. actually lost them when I was running from... Uhh, I mean fighting the spiders. Can you go around and collect the notes? I'll give you a discount on our protection services. You'll be our first client!","Mm. Not really. Okay, so I asked everyone to write their best ideas and give them to me. But they're all pretty busy with their work, so they haven't even brought them yet. I mean, I had some ideas written down too, but I uh.. actually lost them when I was running from... Uhh, I mean fighting the spiders. Can you go around and collect the notes? I'll give you a discount on our protection services. You'll be our first client!"
006_start_transition0_1,Uh... hi. I didn't even know you guys were in here. What is it that you guys do again?,Uh... hi. I didn't even know you guys were in here. What is it that you guys do again?
006_start_transition1_1,"I'm not super excited about the spiders. They're kind of gross. I'll do my best, though.","I'm not super excited about the spiders. They're kind of gross. I'll do my best, though."
006_start_transition2_1,Okay. Slow start. I get it.,Okay. Slow start. I get it.
006_start_transition3_1,Not bad. I'm kind of in the helping people business too.,Not bad. I'm kind of in the helping people business too.
006_start_transition4_1,"Well... I tried to get my friends back home to call me ""Mr. Tough Stuff"", but it didn't work. Does that count?","Well... I tried to get my friends back home to call me ""Mr. Tough Stuff"", but it didn't work. Does that count?"
006_start_transition5_1,"Okay. Well, I'll be right back.","Okay. Well, I'll be right back."
011_finish_node0,Have you completed every task? Excellent! We need young and dynamic comrades like you! Congrats! Since now and then you're the order member. Don't thank me!,Have you completed every task? Excellent! We need young and dynamic comrades like you! Congrats! Since now and then you're the order member. Don't thank me!
011_finish_node1,"Remember to pay dues no later than the third day of each month! Be honest, fair, and things like that.","Remember to pay dues no later than the third day of each month! Be honest, fair, and things like that."
011_finish_transition0_1,"Uhhh... It's a great honor, and things like that...","Uhhh... It's a great honor, and things like that..."
011_finish_transition1_1,"Okay, boss!","Okay, boss!"
011_start_node0,"I decided to install a special board in every settlement on which creatures can leave ads with their tasks. So far, we've installed only one board - the one in our Order.","I decided to install a special board in every settlement on which creatures can leave ads with their tasks. So far, we've installed only one board - the one in our Order."
011_start_node1,"Only the Order's members are leaving their tasks there. We can't complete them by ourselves! Help my comrades, and I'll give you a special reward. A wonderful reward!","Only the Order's members are leaving their tasks there. We can't complete them by ourselves! Help my comrades, and I'll give you a special reward. A wonderful reward!"
011_start_transition0_1,And?,And?
011_start_transition1_1,OK,OK
012_start_node0,Text: Fox needs a volunteer with steel nerves and an iron stomach. I'll provide the details at the meeting.,Text: Fox needs a volunteer with steel nerves and an iron stomach. I'll provide the details at the meeting.
012_start_transition0_1,(take the note),(take the note)
013_start_node0,Text: The Robot Blacksmith is looking for a messenger made of stainless materials. Knowledge of botany a plus.,Text: The Robot Blacksmith is looking for a messenger made of stainless materials. Knowledge of botany a plus.
013_start_transition0_1,(take the note),(take the note)
007_finish_node0,You're back! Perfect! What about my potion?,You're back! Perfect! What about my potion?
007_finish_node1,Really? So adding the rotten eggs wasn't a waste of time! Take your reward. And let's test another potion!,Really? So adding the rotten eggs wasn't a waste of time! Take your reward. And let's test another potion!
007_finish_node2,Whoa! I'd better not put too many slugs in it... I just the taste of the slugs would mask the flavor of the stag fur... Never mind... Let's try another potion!,Whoa! I'd better not put too many slugs in it... I just the taste of the slugs would mask the flavor of the stag fur... Never mind... Let's try another potion!
007_finish_transition0_1,It's better than ever! (smiles vengefully),It's better than ever! (smiles vengefully)
007_finish_transition0_2,Awful! I saw double and fought without being able to see who I was hitting.,Awful! I saw double and fought without being able to see who I was hitting.
007_finish_transition1_1,I hope it'll taste better.,I hope it'll taste better.
007_finish_transition2_1,I hope it'll taste better.,I hope it'll taste better.
007_start_node0,"What else should I add to the potion? How about green mushrooms, or guts, or a spider? I wonder what I'll get...","What else should I add to the potion? How about green mushrooms, or guts, or a spider? I wonder what I'll get..."
007_start_node1,"Take the potion and go to the shipwreck. Once there, drink it and wait. It's a wild place; someone will definitely attack you. While the potion is active, you'll be incredibly strong. At least I think so... Anyway, will you tell me everything that happens?","Take the potion and go to the shipwreck. Once there, drink it and wait. It's a wild place; someone will definitely attack you. While the potion is active, you'll be incredibly strong. At least I think so... Anyway, will you tell me everything that happens?"
007_start_node2,"I'm glad you asked! I made a potion, and I need a brave volunteer to test it. It's nothing complicated! Just go to where there's a bunch of monsters, drink the potion, fight them, and, if you win, which you will, tell me what happened.","I'm glad you asked! I made a potion, and I need a brave volunteer to test it. It's nothing complicated! Just go to where there's a bunch of monsters, drink the potion, fight them, and, if you win, which you will, tell me what happened."
007_start_node3,"I've never made a battle potion before, but I'm an excellent cook! The creatures here love my mushroom soup! You'll be fine! At least I hope so... You're the hero! What is there to be afraid of?","I've never made a battle potion before, but I'm an excellent cook! The creatures here love my mushroom soup! You'll be fine! At least I hope so... You're the hero! What is there to be afraid of?"
007_start_transition0_1,I'm here to talk about the ad on the board.,I'm here to talk about the ad on the board.
007_start_transition1_1,Fine!,Fine!
007_start_transition2_1,"What do you mean by ""if you win?""","What do you mean by ""if you win?"""
007_start_transition3_1,"OK, I'll take the risk. What should I do?","OK, I'll take the risk. What should I do?"
008_finish_node0,How did it go?,How did it go?
008_finish_node1,But are you invisible? Are you?,But are you invisible? Are you?
008_finish_node2,Hmmm... That's a strange effect... Although it should be exactly as you described... Take the reward! Good job!,Hmmm... That's a strange effect... Although it should be exactly as you described... Take the reward! Good job!
008_finish_transition0_1,Fine! I didn't even vomit.,Fine! I didn't even vomit.
008_finish_transition1_1,Nope! I was reduced to the size of a spider.,Nope! I was reduced to the size of a spider.
008_finish_transition2_1,Fine! Deal!,Fine! Deal!
008_start_node0,I want to try a potion that will make you invisible! It's amazing! A true breakthrough!,I want to try a potion that will make you invisible! It's amazing! A true breakthrough!
008_start_node1,"Don't worry! Everything will be fine! I'm sure... Or almost sure... Anyway, take the potion and go to Spider Island.","Don't worry! Everything will be fine! I'm sure... Or almost sure... Anyway, take the potion and go to Spider Island."
008_start_transition0_1,"Well, do you have an antidote?","Well, do you have an antidote?"
008_start_transition1_1,Fine!,Fine!
015_finish_node0,Did you bring me the leaves?,Did you bring me the leaves?
015_finish_node1,Wonderful! I can paint my weapons now. And I need to forge the swords!,Wonderful! I can paint my weapons now. And I need to forge the swords!
015_finish_transition0_1,"Yes, take them.","Yes, take them."
015_finish_transition1_1,"Please, don't bother me with this.","Please, don't bother me with this."
015_hint_node0,I'm afraid the silverfish is afraid of giant creatures.,I'm afraid the silverfish is afraid of giant creatures.
015_hint_transition0_1,hmm,hmm
015_start_node0,Swords ... Why does he need swords? The most effective weapon is a cannon!,Swords ... Why does he need swords? The most effective weapon is a cannon!
015_start_node1,"Fox promised to give me some paint if I bring her every plant she wants. I don't want to walk along the marshes, as I might get rusty, Can you bring me three silverfish leaves?","Fox promised to give me some paint if I bring her every plant she wants. I don't want to walk along the marshes, as I might get rusty, Can you bring me three silverfish leaves?"
015_start_node2,"Listen! I was ordered to deliver silver swords to the Order's warriors. But I don't have any money for silver, and need to use silver paint... Which I don't have, either...","Listen! I was ordered to deliver silver swords to the Order's warriors. But I don't have any money for silver, and need to use silver paint... Which I don't have, either..."
015_start_transition0_1,Hi! I'm here regarding the ad on the board.,Hi! I'm here regarding the ad on the board.
015_start_transition1_1,Sure!,Sure!
015_start_transition2_1,What should we do?,What should we do?
091_start_humble_bundle_node0,">psst!< Hey! You over there! Yoo hoo! It is I, Manfred the Polyglot! How lucky -- or ""Grunzo"" as the trolls would say -- I am that you came by. I am in need of your help.",">psst!< Hey! You over there! Yoo hoo! It is I, Manfred the Polyglot! How lucky -- or ""Grunzo"" as the trolls would say -- I am that you came by. I am in need of your help."
091_start_humble_bundle_node1,"Hoo hoo! How did you ever guess? You are very perceptive, my young friend. What the Gnarks would call ""Gnark"", in fact! Oh my! This is lucky, indeed! I need someone who is quick-witted and sharp-tongued to do me a favor.","Hoo hoo! How did you ever guess? You are very perceptive, my young friend. What the Gnarks would call ""Gnark"", in fact! Oh my! This is lucky, indeed! I need someone who is quick-witted and sharp-tongued to do me a favor."
091_start_humble_bundle_node2,"Why yes! That sounds excellent -- or ""Hmmhm-Mmm"" as the Golems would say! My conundrum is this: the Forgers -- they're the sinister merchants and artisans that run this city -- would do well to form a trade alliance with the creatures that live in the surrounding hills: Gnarks, Trolls, and Golems. But the Forgers are arrogant, and they will not believe that any of these three tribes are intelligent, no matter how passionately I try to argue with them!","Why yes! That sounds excellent -- or ""Hmmhm-Mmm"" as the Golems would say! My conundrum is this: the Forgers -- they're the sinister merchants and artisans that run this city -- would do well to form a trade alliance with the creatures that live in the surrounding hills: Gnarks, Trolls, and Golems. But the Forgers are arrogant, and they will not believe that any of these three tribes are intelligent, no matter how passionately I try to argue with them!"
091_start_humble_bundle_node3,"Aha ha ha!! That is a good one! Hoo hoo! Oh, human, well done. You have tickled my funny bone! No, the problem most certainly is that the Forgers are idiots and uncultured swine. But ... hmmm...perhaps if you would attempt to talk it through, they would see reason. I have been working to compile a database of  languages in this translator. If you wish to use it, I could sell it to you for 1000 gold. Ahh, then I could afford to get out of...oh, hm-hm, that is not important. 1000 gold.","Aha ha ha!! That is a good one! Hoo hoo! Oh, human, well done. You have tickled my funny bone! No, the problem most certainly is that the Forgers are idiots and uncultured swine. But ... hmmm...perhaps if you would attempt to talk it through, they would see reason. I have been working to compile a database of  languages in this translator. If you wish to use it, I could sell it to you for 1000 gold. Ahh, then I could afford to get out of...oh, hm-hm, that is not important. 1000 gold."
091_start_humble_bundle_node4,"Ah yes, indeed! Here you are! Seek out the trolls, the Gnarks, and the Golems in the hills surrounding here. You will need many conversations with the creatures in order to build its vocabulary. I wish you luck. And I will definitely still be around when you get back. Hoo hoo! Don't you worry on that!","Ah yes, indeed! Here you are! Seek out the trolls, the Gnarks, and the Golems in the hills surrounding here. You will need many conversations with the creatures in order to build its vocabulary. I wish you luck. And I will definitely still be around when you get back. Hoo hoo! Don't you worry on that!"
091_start_humble_bundle_node5,"If you don't have gold coins, you'll need to drive off some of the monsters around here to earn them. I'll be here waiting! Hee-hee!","If you don't have gold coins, you'll need to drive off some of the monsters around here to earn them. I'll be here waiting! Hee-hee!"
091_start_humble_bundle_node6,>bzzt bzzt< Then the price is reduced. 700 gold and it is yours.,>bzzt bzzt< Then the price is reduced. 700 gold and it is yours.
091_start_humble_bundle_transition0_1,"Yeah? Say, you look like the type who would be in something called the ""Forest Brotherhood"". Is that right?","Yeah? Say, you look like the type who would be in something called the ""Forest Brotherhood"". Is that right?"
091_start_humble_bundle_transition1_1,"Actually, this is pretty convenient. I have to ask you a favor, too. You first.","Actually, this is pretty convenient. I have to ask you a favor, too. You first."
091_start_humble_bundle_transition2_1,Could the problem be that you are a little bit...arrogant?,Could the problem be that you are a little bit...arrogant?
091_start_humble_bundle_transition3_1,"A thousand?? Sheesh, okay.","A thousand?? Sheesh, okay."
091_start_humble_bundle_transition3_2,"I'm a little short on funds at the moment. Do you take...credit? Never mind, I can trade some of my items for gold coins, or scavange for some.","I'm a little short on funds at the moment. Do you take...credit? Never mind, I can trade some of my items for gold coins, or scavange for some."
091_start_humble_bundle_transition4_1,"Er, okay, thanks.","Er, okay, thanks."
091_start_humble_bundle_transition4_2,I'm a little short on funds. I'll be back when I get some more money.,I'm a little short on funds. I'll be back when I get some more money.
091_start_humble_bundle_transition5_1,Okay,Okay
091_start_humble_bundle_transition6_1,Deal.,Deal.
091_start_humble_bundle_transition6_2,I'm a little short on funds. I'll be back when I get some more money.,I'm a little short on funds. I'll be back when I get some more money.
091_return_buy_humble_bundle_node0,"Helloooo!! Welcome back, friend. Do you have the money?","Helloooo!! Welcome back, friend. Do you have the money?"
091_return_buy_humble_bundle_node1,Ah yes. Here you go. Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck.,Ah yes. Here you go. Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck.
091_return_buy_humble_bundle_transition0_1,"Sheesh, I forgot!","Sheesh, I forgot!"
091_return_buy_humble_bundle_transition0_2,"Yep, here you go, 1000 gold.","Yep, here you go, 1000 gold."
091_return_buy_humble_bundle_transition1_1,"Okay, after I do all of this for you, you can help me with my thing, right?","Okay, after I do all of this for you, you can help me with my thing, right?"
091_finish_humble_bundle_node0,"[furiously packing bag] Wh-what? Back already? But I didn't have enough time to uh... I mean, hellooo there traveler! What have you found out there in the wild wild wastes?","[furiously packing bag] Wh-what? Back already? But I didn't have enough time to uh... I mean, hellooo there traveler! What have you found out there in the wild wild wastes?"
091_finish_humble_bundle_node1,[reads a few pages] Oh. Very interesting. I didn't know what that word meant. Ohh. That's bad. I've been insulting the Gnarks' mothers for about 5 years.,[reads a few pages] Oh. Very interesting. I didn't know what that word meant. Ohh. That's bad. I've been insulting the Gnarks' mothers for about 5 years.
091_finish_humble_bundle_transition0_1,"Check it out. I can communicate with all the Gnarks, Golems, and Trolls now. In fact, we're all pretty good friends.","Check it out. I can communicate with all the Gnarks, Golems, and Trolls now. In fact, we're all pretty good friends."
091_finish_humble_bundle_transition1_1,"Awesome. Well, that's done. so now I have a question for you. How do I get home?","Awesome. Well, that's done. so now I have a question for you. How do I get home?"
091_return_buy_humble_bundle_node2,"What? Oh, ho ho, ...yyyees. I will definitely still be around. Okay, now hop to it!","What? Oh, ho ho, ...yyyees. I will definitely still be around. Okay, now hop to it!"
091_return_buy_humble_bundle_transition2_1,Hmm.,Hmm.
091_finish_humble_bundle_node2,"Uh... ha ha! Yes, oh, I definitely know this one. You're going to want to go to the we-- I mean north. Definitely north. Yep. that's where it is. Home.","Uh... ha ha! Yes, oh, I definitely know this one. You're going to want to go to the we-- I mean north. Definitely north. Yep. that's where it is. Home."
091_finish_humble_bundle_node3,"Uh... Yeah, well, still north. No need to thank me. I'll uh... definitely still be here if you need more advice. [continues furiously packing bags]","Uh... Yeah, well, still north. No need to thank me. I'll uh... definitely still be here if you need more advice. [continues furiously packing bags]"
091_finish_humble_bundle_transition2_1,I haven't even told you where I'm from.,I haven't even told you where I'm from.
091_finish_humble_bundle_transition3_1,Great. Thanks.,Great. Thanks.
006_fox_start_node3,"Oh, yeah, we're such an important group of warriors! Everything we do is such a big deal that... that we have to celebrate every successful thing we do, but we haven't even DONE anything yet!","Oh, yeah, we're such an important group of warriors! Everything we do is such a big deal that... that we have to celebrate every successful thing we do, but we haven't even DONE anything yet!"
006_fox_start_transition2_2,A celebration for a meeting?,A celebration for a meeting?
046_start_node0,Get out!,Get out!
046_start_node1,You must help me! I’ll pay you generously!,You must help me! I’ll pay you generously!
046_start_node2,"First of all, clear your mind. Then go swim in the Lake of Purity. It's located to the south.","First of all, clear your mind. Then go swim in the Lake of Purity. It's located to the south."
046_start_transition0_1,Who are you talking with?,Who are you talking with?
046_start_transition1_1,How?,How?
046_start_transition2_1,You're weird. But OK!,You're weird. But OK!
046_hat_first_node0,Do you want to buy perfect tin foil hat?,Do you want to buy perfect tin foil hat?
046_hat_first_node1,"It can be yours for 100,000 coins!","It can be yours for 100,000 coins!"
046_hat_first_node2,"Well... What about this? You can buy it for 1,000 coins.","Well... What about this? You can buy it for 1,000 coins."
046_hat_first_transition0_1,Yes. I'm ready to buy it.,Yes. I'm ready to buy it.
046_hat_first_transition1_1,Are you crazy? It’s just foil...,Are you crazy? It’s just foil...
046_hat_first_transition2_1,Something is better than nothing...,Something is better than nothing...
046_finish_node0,Do you feel better? Can you feel the purity?,Do you feel better? Can you feel the purity?
046_finish_node1,"Yes, that's it! The feeling of purification will come soon!","Yes, that's it! The feeling of purification will come soon!"
046_finish_transition0_1,I was wrong in wishing to deal with this.,I was wrong in wishing to deal with this.
046_finish_transition1_1,Gotcha!,Gotcha!
048_start_node0,"Oh, no! They're transforming the world! Did you bring the cap?","Oh, no! They're transforming the world! Did you bring the cap?"
048_start_node1,"Put it on! You must see this, too.","Put it on! You must see this, too."
048_start_transition0_1,"Yes, here it is.","Yes, here it is."
048_start_transition1_1,*sigh* *puts on the cap*,*sigh* *puts on the cap*
048_find_water_for_sword_node0,See them?,See them?
048_find_water_for_sword_node1,"To defeat them, you need to craft a sword from another dimension! Here's a jar. Fill it with water from the well under the star and craft a sword according for the manual. We must eliminate them!","To defeat them, you need to craft a sword from another dimension! Here's a jar. Fill it with water from the well under the star and craft a sword according for the manual. We must eliminate them!"
048_find_water_for_sword_transition0_1,It seems I'm going crazy along with you.,It seems I'm going crazy along with you.
048_find_water_for_sword_transition1_1,"I don’t like them, either.","I don’t like them, either."
048_finish_node0,I can breathe freely again. Take your reward.,I can breathe freely again. Take your reward.
048_finish_node1,It’s money from another dimension! You're now rich!,It’s money from another dimension! You're now rich!
048_finish_node2,Anything you want! It's yours!,Anything you want! It's yours!
048_finish_transition0_1,What is it?,What is it?
048_finish_transition1_1,What should I do with this?,What should I do with this?
048_finish_transition2_1,I knew this wouldn't work.,I knew this wouldn't work.
091_return_buy_humble_bundle_node3,"If you don't have gold coins, you'll need to drive off some of the monsters around here to earn them. I'll be here waiting! Hee-hee!","If you don't have gold coins, you'll need to drive off some of the monsters around here to earn them. I'll be here waiting! Hee-hee!"
091_return_buy_humble_bundle_transition3_1,"Okay, thanks!","Okay, thanks!"
092_after_fight_3_node0,"Gnark Gnark Gnark, Gnark Gnark Gnark! [Translator: They may take our Gnark, but they’ll never Gnark our Gnark!]","Gnark Gnark Gnark, Gnark Gnark Gnark! [Translator: They may take our Gnark, but they’ll never Gnark our Gnark!]"
092_after_fight_3_transition0_1,Is that a Scottish brogue I hear? Whew...this looks like the last of them. Finish him off and it's back to their leader for some haggis I guess.,Is that a Scottish brogue I hear? Whew...this looks like the last of them. Finish him off and it's back to their leader for some haggis I guess.
006_fox_start_transition3_1,Gotcha.,Gotcha.
093_start_node2,Hmm humm-HM! [Translator: Do not touch that!],Hmm humm-HM! [Translator: Do not touch that!]
093_start_transition2_1,"I'm guessing if I grab this, they'll shout their heads off at me. I just need them to yell long enough for me to fill up the translator and then I can put this back.","I'm guessing if I grab this, they'll shout their heads off at me. I just need them to yell long enough for me to fill up the translator and then I can put this back."
113_start_node0,Чего тебе?,What do you want?
113_start_node1,Сначала заслужи доверие,"First, earn the trust"
113_start_transition0_1,Мне нужны ваши секреты.,I need your secrets.
113_start_transition1_1,Ок,OK
114_start_node0,Чего надо?,What do you want?
114_start_node1,Доверия недостаточно,Trust is not enough
114_start_transition0_1,Нужны секреты Лис,Looking secrets Fox
114_start_transition1_1,Ок,OK
114_finish_node0,Мы лисы. Ты сделал для нас многое. Мы друзья теперь.,We foxes. You did a lot for us. We're friends now.
114_finish_node1,"Давай я расскажу про ритуалы, а ты записывай","Let me tell you about the rituals, and you write down"
114_finish_transition0_1,Класс,Class
114_finish_transition1_1,Круто,cool
115_start_node0,Я пигмей. Хочу чтобы ты ходил и убивал Замка-Босса,I pygmy. I want you to go and kill Castle Bossa
115_start_node1,Класс!,Class!
115_start_transition0_1,"Ок, иду","Ok, I'm coming"
115_start_transition1_1,Ага,aha
115_finish_node0,Убил Замок?,Killed Castle?
115_finish_node1,Круто.,Cool.
115_finish_transition0_1,Да,Yes
115_finish_transition1_1,Да,Yes
IC_004_start_node0,Пш-пш. Это Дейв звонит. Как там у тебя успехи?,PN PN. It calls Dave. How are you getting on?
IC_004_start_node1,"Я все попробую устроить сам, ты главное дождись. А пока узнай секреты фракции Лис и Демонов","I'll try to arrange itself, you are the main rains. In the meantime, to learn the secret faction Fox and Demons"
IC_004_start_transition0_1,"Не могу достать информацию про место, где находятся технологии созданий",I can not get information about the place where the creatures technology
IC_004_start_transition1_1,"Окей, понял. Будет исполнено","Okay, understood. Will be done"
IC_005_start_node0,Это снова Дейв беспокоит.,This is again worried about Dave.
IC_005_start_node1,"Координаты достал. Записывай. Но твой портал не справится, его нужно усилить. Иди к пигмеям, они помогут.","Coordinates got. Write it down. But your portal can not cope, it should be strengthened. Go to the pygmies, they will help."
IC_005_start_transition0_1,"Как неожиданно, что с координатами?",As unexpectedly that coordinates?
IC_005_start_transition1_1,"Ок, это я сделаю.","Ok, I'll do it."
115_kill_castle_node0,Убил Замок?,Killed Castle?
115_kill_castle_node1,"Круто. Теперь у тебя есть нужная запчасть, чтобы усилить портал. Иди и усиливай",Cool. Now you have the necessary spare parts to enhance the portal. Go and strengthens
115_kill_castle_transition0_1,Да,Yes
115_kill_castle_transition1_1,Ок,OK
115_daive_after_kill_castle_node0,Эгегей. Как у тебя дела?,Egegey. How are you?
115_daive_after_kill_castle_node1,"А ты ничего не помнишь? *Рассказывает историю* Больше не хочу об этом говорить, ок?","Do not you remember anything? * Tells the story * Do not want to talk about it, ok?"
115_daive_after_kill_castle_transition0_1,"Я только что убил Замок с говорящими привидениями. Они обвиняли меня в чем-то, но я не понимаю в чем","I just killed a castle with talking ghosts. They accused me of something, but I do not understand what"
115_daive_after_kill_castle_transition1_1,Ну ок,"well, OK"
IC_006_start_node0,Это Дейв. Держи координаты Великого Хранилища Знаний Созданий.,It's Dave. Keep coordinates Great repository of knowledge creation.
IC_006_start_node1,"Но будь осторожен, неизвестно как тебя встретят.","But be careful, do not know how you will meet."
IC_006_start_transition0_1,Ок,OK
IC_006_start_transition1_1,Ок,OK
116_start_node0,Я верховный патриарх церкви Создателя. Чего тебе?,I am the supreme patriarch of the Church of the Creator. What do you want?
116_start_node1,"Все данные хранятся в Великом Хранилище. Но доступ туда могут получить только сами Создания или лица, причисляемые Созданиями к великим друзьям.",All data is stored in the Great Vault. But access to it can only get themselves create or persons who consider creation by great friends.
116_start_node2,"Ты можешь, да. Заслужи наше доверие","You can, yes. We earn our trust"
116_start_transition0_1,Мне нужны координаты центра. Могу я их получить?,I need the coordinates of the center. Can I get them?
116_start_transition1_1,"В таком случае, могу ли я чем-то помочь?","In this case, if I can be of any help?"
116_start_transition2_1,Выдвигаюсь,advance
